Priority,Complexity Assessment,ASR-L version,Change Type (from KDDI CSL-M),Justification,Field Col #,KDDI Field #,KDDI Field Name,Field Name,Field description,Unit,Data format,Min value,Max value,Sample Value,Source Event,Field(s),ASN1,Aggregation/Formula/Note,Other notes/comments,Use Case
1,1,1.0,"New field, existing event","RLC Tx Error Rate, Throughput impact",148,,,downlinkRLCTx_Num,Downlink RLC Transmitted NACK PDU ,pdu,Long Integer,0,4294967295,1486,INTERNAL_PER_UE_TRAFFIC_REP,EVENT_PARAM_PER_UE_RLC_NACK_DL ,EVENT_PARAM_PER_UE_RLC_NACK_DL ,SUM,," Basic observability, Session Trace, Integrity Analytics"
1,1,1.0,"New field, existing event","RLC Tx Error Rate, Throughput impact",149,,,uplinkRLCTx_Num,Uplink RLC Transmitted NACK PDU,pdu,Long Integer,0,4294967295,1486,INTERNAL_PER_UE_TRAFFIC_REP,EVENT_PARAM_PER_UE_RLC_NACK_UL,EVENT_PARAM_PER_UE_RLC_NACK_UL,SUM,," Basic observability, Session Trace, Integrity Analytics"
1,1,1.0,"New field, existing event","RLC Tx Error Rate, Throughput impact",150,,,downlinkRLCTx_Denom,Downlink RLC Transmission (ACK + NACK). Use in conjunction with downlinkRLCTx_Num to derive Tx Error Rate.,pdu,Long Integer,0,4294967295,1486,INTERNAL_PER_UE_TRAFFIC_REP,EVENT_PARAM_PER_UE_RLC_NACK_DL EVENT_PARAM_PER_UE_RLC_ACK_DL,EVENT_PARAM_PER_UE_RLC_NACK_DL EVENT_PARAM_PER_UE_RLC_ACK_DL,SUM(EVENT_PARAM_PER_UE_RLC_ACK_DL + EVENT_PARAM_PER_UE_RLC_NACK_DL),," Basic observability, Session Trace, Integrity Analytics"
1,1,1.0,"New field, existing event","RLC Tx Error Rate, Throughput impact",151,,,uplinkRLCTx_Denom,Uplink RLC Transmission (ACK + NACK). Use in conjunction with uplinkRLCTxNACK_Num to derive Tx Error Rate.,pdu,Long Integer,0,4294967295,1486,INTERNAL_PER_UE_TRAFFIC_REP,EVENT_PARAM_PER_UE_RLC_NACK_UL EVENT_PARAM_PER_UE_RLC_ACK_UL,EVENT_PARAM_PER_UE_RLC_NACK_UL EVENT_PARAM_PER_UE_RLC_ACK_UL,SUM(EVENT_PARAM_PER_UE_RLC_ACK_UL + EVENT_PARAM_PER_UE_RLC_NACK_UL),," Basic observability, Session Trace, Integrity Analytics"
1,1,1.0,"New field, existing event",VOLTE,152,,,uplinkRLCSDUsInsideDelayBudget,Uplink RLC SDUs (PDCP SDU) that are received within packet delay budget. Not applicable if the UE has not been doing VOIP.,sdu,Long Integer,0,4294967295,2345,INTERNAL_PER_UE_TRAFFIC_REP,EVENT_PARAM_PDCPSDU_VOIP_ULPDB_OK,EVENT_PARAM_PDCPSDU_VOIP_ULPDB_OK,SUM,," Basic observability, Session Trace, Integrity Analytics, VoLTE Analytics, "
3,1,1.0,"New field, existing event",Retransmission error,153,,,downlinkPollRetx,The total number of occurrences when the poll retransmit timer expiry triggers a DL AM PDU retransmission,count,Unsigned Integer (32 bit),0,304035759,432543,INTERNAL_PER_UE_TRAFFIC_REP,EVENT_PARAM_PER_UE_RLC_POLL_RETX_DL,EVENT_PARAM_PER_UE_RLC_POLL_RETX_DL,SUM,," Basic observability, Session Trace, Integrity Analytics"
3,1,1.0,"New field, existing event",Retransmission error,154,,,uplinkPollRetx,The total number of occurrences when an UL AM Data PDU in which Poll flag bit is set and SN is outside of receiving window is received,count,Unsigned Integer (32 bit),0,304035759,43232,INTERNAL_PER_UE_TRAFFIC_REP,EVENT_PARAM_PER_UE_RLC_POLL_RETX_UL,EVENT_PARAM_PER_UE_RLC_POLL_RETX_UL,SUM,," Basic observability, Session Trace, Integrity Analytics"
1,1,1.0,"New field, existing event",Throughput,155,,,downlinkMACTransportTime,"Time from when data arrives to at least one PDCP SDU buffer for the UE until all the PDCP buffers and the MAC HARQ buffers containing DRB data for the UE are emptied, either by a succesful transmission or by a HARQ failure. Transmissions of UL RLC status PDUs are not counted.",ms,Unsigned Integer (32 bit),0,304035759,34235,INTERNAL_PER_UE_TRAFFIC_REP,EVENT_PARAM_PER_UE_THP_MACTIME_DRB_DL,EVENT_PARAM_PER_UE_THP_MACTIME_DRB_DL,SUM,," Basic observability, Session Trace, Integrity Analytics"
1,1,1.0,"New field, existing event",Throughput,156,,,downlinkMACThroughputVolume,Transmitted DL MAC volume on all DRBs for a UE. Volume for UL RLC status PDUs is not counted.,byte,Unsigned Integer (32 bit),0,304035759,3423,INTERNAL_PER_UE_TRAFFIC_REP,EVENT_PARAM_PER_UE_THP_MACVOL_DRB_DL,EVENT_PARAM_PER_UE_THP_MACVOL_DRB_DL,SUM,," Basic observability, Session Trace, Integrity Analytics"
1,1,1.0,"New field, existing event",Throughput,157,,,downlinkAvgUEMACThroughput,Average UE MAC throughput calculated for the DL: MAC transmitted volume divided by MAC active time.,kbps,Long Integer,0,4294967295,65462,INTERNAL_PER_UE_TRAFFIC_REP,EVENT_PARAM_PER_UE_THP_MAC_DRB_DL,EVENT_PARAM_PER_UE_THP_MAC_DRB_DL,AVG,," Basic observability, Session Trace, Integrity Analytics"
1,1,1.0,"New field, existing event",Throughput,158,,,uplinkUEThroughputVolume,UL volume used for UL UE Throughput,byte,Long Integer,0,4294967295,453667,INTERNAL_PER_UE_TRAFFIC_REP,EVENT_PARAM_PER_UE_THP_MACVOL_UL,EVENT_PARAM_PER_UE_THP_MACVOL_UL,SUM,," Basic observability, Session Trace, Integrity Analytics"
1,1,1.0,"New field, existing event",Throughput,159,,,uplinkULTransportTime,Effective UL transport time.,ms,Unsigned Integer (32 bit),0,304035759,5644366,INTERNAL_PER_UE_TRAFFIC_REP,EVENT_PARAM_PER_UE_THP_MACTIME_UL,EVENT_PARAM_PER_UE_THP_MACTIME_UL,SUM,," Basic observability, Session Trace, Integrity Analytics"
1,1,1.0,"New field, existing event",Throughput,160,,,uplinkAvgUEMacThroughput,Average UE MAC throughput calculated for the UL.,kbps,Unsigned Integer (32 bit),0,304035759,324535,INTERNAL_PER_UE_TRAFFIC_REP,EVENT_PARAM_PER_UE_THP_MAC_UL,EVENT_PARAM_PER_UE_THP_MAC_UL,AVG,," Basic observability, Session Trace, Integrity Analytics"
0,0,0.9,,,161,43,RSRP (Reference Signal Received Power),servingCellRSRP,"Serving cell RSRP at last mobility evaluation. Not populated if no mobility evaluation has taken place during the session, or if the mobility evaluation is CS fallback triggered.",,Unsigned Integer (16 bit),0,97,4,INTERNAL_EVENT_UE_MOBILITY_EVAL ,EVENT_PARAM_SERVING_RSRP ,EVENT_PARAM_SERVING_RSRP ,"Last Value, if applicable",," Basic observability, Session Trace, Integrity Analytics, Dropped Call Analytics, Blocked Call Analytics, Mobility Analytics, Geolocation"
0,0,0.9,,,162,44,RSRQ (Reference Signal Received Quality),servingCellRSRQ,"Serving cell RSRQ at last mobility evaluation. Not populated if no mobility evaluation has taken place during the session, or if the mobility evaluation is CS fallback triggered.",,Unsigned Integer (16 bit),0,34,6,INTERNAL_EVENT_UE_MOBILITY_EVAL ,EVENT_PARAM_SERVING_RSRQ ,EVENT_PARAM_SERVING_RSRQ ,"Last Value, if applicable",," Basic observability, Session Trace, Integrity Analytics, Dropped Call Analytics, Blocked Call Analytics, Mobility Analytics, Geolocation"
1,0,1.0,"New field, existing event",Enable geolocation,163,,,neighborCellRSRP,"Neighbor cell RSRP at last mobility evaluation. Not populated if no mobility evaluation has taken place during the session, or if the mobility evaluation is CS fallback triggered.",,Unsigned Integer (16 bit),0,97,4,INTERNAL_EVENT_UE_MOBILITY_EVAL ,EVENT_PARAM_NEIGHBOR_RSRP ,EVENT_PARAM_NEIGHBOR_RSRP ,"Last Value, if applicable",," Basic observability, Session Trace, Integrity Analytics, Dropped Call Analytics, Blocked Call Analytics, Mobility Analytics, Geolocation"
1,0,1.0,"New field, existing event",Enable geolocation,164,,,neighborCellRSRQ,"Neighbor cell RSRQ at last mobility evaluation. Not populated if no mobility evaluation has taken place during the session, or if the mobility evaluation is CS fallback triggered.",,Unsigned Integer (16 bit),0,34,6,INTERNAL_EVENT_UE_MOBILITY_EVAL ,EVENT_PARAM_NEIGHBOR_RSRQ,EVENT_PARAM_NEIGHBOR_RSRQ,"Last Value, if applicable",," Basic observability, Session Trace, Integrity Analytics, Dropped Call Analytics, Blocked Call Analytics, Mobility Analytics, Geolocation"
3,3,1.0,New field. Already implemented in current CSL-M version as a workaround,Provide SINR PUSCH view across the session,165,,,sessionSINRPUSCH,Weighted average of all SINR PUSCH measures reported for the UE for the duration of the connection.,,Unsigned Integer (16bit),0,255,128,INTERNAL_PER_RADIO_UE_MEASUREMENT,EVENT_PARAM_SINR_MEAS_PUSCH_{0..7},EVENT_PARAM_SINR_MEAS_PUSCH_{0..7},"SUMPRODUCT(EVENT_PARAM_SINR_MEAS_PUSCH {0..7}, SINR_VALUES{0..7}) / SUM (EVENT_PARAM_SINR_MEAS_PUSCH {0..7}) ",See worked examples," Basic observability, Session Trace, Integrity Analytics"
2,3,1.0,New field. Already implemented in current CSL-M version as a workaround,Provide CQI view across the session,166,,,sessionCQI1,Weighted average of all CQI1 measures reported for the UE for the duration of the connection.,,Unsigned Integer (16 bit),0,15,7,INTERNAL_PER_RADIO_UE_MEASUREMENT,EVENT_PARAM_CQI_REPORTED_{0..15},EVENT_PARAM_CQI_REPORTED_{0..15},"This is a weighted average computed using the CQI effiency index. SUMPRODUCT(Efficency Idx {0..15}, SAMPLES{0..15}) / SUM (SAMPLES {0..15}) . Once computed interpolate back to nearest CQI value. ",See worked examples," Basic observability, Session Trace, Integrity Analytics"
0,0,0.9,,,167,46,UE Transmit Power,uePowerHeadroom,The last reported power headroom value for the UE. If negative value UE is power limited.,,Signed Integer (16 bit),-23,40,-12,INTERNAL_PER_RADIO_UE_MEASUREMENT,EVENT_PARAM_POWER_HEADROOM,EVENT_PARAM_POWER_HEADROOM,Last Value,," Basic observability, Session Trace, Integrity Analytics, Dropped Call Analytics, Coverage & Capacity Analytics "
1,0,1.0,"New field, existing event","Leverage improvement in L15B, Better qualify Power Headroom. Needed by KDDI, but currently can't change their NBI",168,,,uePowerHeadroomPRBS,"The number of PRBs used, for the latest UL transmission with a Power Headroom Report ",,Unsigned Integer (16 bit),0,255,4,INTERNAL_PER_RADIO_UE_MEASUREMENT,EVENT_PARAM_POWER_HEADROOM_PRB_USED,EVENT_PARAM_POWER_HEADROOM_PRB_USED,Last Value,," Basic observability, Session Trace, Integrity Analytics, Dropped Call Analytics, Coverage & Capacity Analytics "
1,1,1.1,,,169,,,numBearers,The number of bearers which this session record is reporting on. For failed connection setup requests this should be set to zero. ,,Unsigned Integer (16 bit),0,8,4,,,,Count (bearers),,
1,1,1.1,,,170,,,bearerID_1,Bearer Id as defined in 3GPP TS 36413-840,,Byte,0,15,5,INTERNAL_PROC_INITIAL_CTXT_SETUP INTERNAL_PROC_HO_X2_EXEC_IN INTERNAL_PROC_HO_S1_EXEC_IN INTERNAL_PROC_RRC_CONNECTION_RE_ESTABLISHMENT INTERNAL_PROC_ERAB_SETUP INTERNAL_PER_UE_RB_TRAFFIC_REP,INTERNAL_PER_UE_RB_TRAFFIC_REP.EVENT_PARAM_BEARER_ID,INTERNAL_PER_UE_RB_TRAFFIC_REP.EVENT_PARAM_BEARER_ID,,Correlation between setup and the periodic event needed.," Basic observability, Session Trace, "
1,1,1.1,,,171,,,bearerERABID_1,E-RAB Id as defined in 3GPP TS 36413-840,,Byte,0,15,5,INTERNAL_PROC_INITIAL_CTXT_SETUP INTERNAL_PROC_HO_X2_EXEC_IN INTERNAL_PROC_HO_S1_EXEC_IN INTERNAL_PROC_RRC_CONNECTION_RE_ESTABLISHMENT INTERNAL_PROC_ERAB_SETUP INTERNAL_PER_UE_RB_TRAFFIC_REP,INTERNAL_PER_UE_RB_TRAFFIC_REP.EVENT_PARAM_ERAB_ID,INTERNAL_PER_UE_RB_TRAFFIC_REP.EVENT_PARAM_ERAB_ID,,Correlation between setup and the periodic event needed.," Basic observability, Session Trace, "
1,1,1.1,,,172,,,bearerType_1,Bearer bearer (signalling versus data),,Unsigned Integer (16 bit),0,1,0,INTERNAL_PER_UE_RB_TRAFFIC_REP,EVENT_PARAM_BEARER_TYPE,EVENT_PARAM_BEARER_TYPE,,,
1,0,1.1,,,173,,,bearerProcedureType_1,Bearer Procedure Type,,Unsigned Integer (16 bit),0,0,2,INTERNAL_EVENT_ERAB_DATA_INFO,EVENT_PARAM_ERAB_PROCEDURE,EVENT_PARAM_ERAB_PROCEDURE,,," Basic observability, Session Trace, "
1,0,1.1,,,174,,,bearerEstabDateTime_1,Time of radio bearer setup. Timestamp is in Coordinated Universal Time (UTC),time,String,-,-,20140101235959,INTERNAL_PROC_INITIAL_CTXT_SETUP INTERNAL_PROC_HO_X2_PREP_IN INTERNAL_PROC_HO_S1_PREP_IN INTERNAL_PROC_RRC_CONNECTION_RE_ESTABLISHMENT INTERNAL_PROC_ERAB_SETUP,TIMESTAMP fields,TIMESTAMP fields,,,Basic observability
1,1,1.1,"New field, existing event",Enable Access latency analytics,175,,,bearerEstabDuration_1,"Time taken for ERAB setup procedure, in milliseconds. If ERAB was set up as part of initial context setup this is not populated - see initCtxtSetupTime",ms,Unsigned Integer (32 bit),0,4294967295,7541,INTERNAL_PROC_ERAB_SETUP,STOP - START timestamps,STOP - START timestamps,,," Basic observability, Session Trace, Access Latency Analysis"
1,0,1.1,,,176,,,bearerSGWIPAddr_1,SGW IP Address for the bearer,ipaddr,String,,,IPv4: 10.2.3.4,S1_INITIAL_CONTEXT_SETUP_REQUEST S1_HANDOVER_REQUEST X2_HANDOVER_REQUEST S1_ERAB_SETUP_REQUEST,E-RABs To Be Setup List.Transport Layer Address,E-RABs To Be Setup List.Transport Layer Address,,," Basic observability, Session Trace"
1,0,1.1,,,177,,,bearerGTP-TEID_1,GTP TEID for the bearer,,Octet String,,,0x00036DED,S1_INITIAL_CONTEXT_SETUP_REQUEST S1_HANDOVER_REQUEST X2_HANDOVER_REQUEST S1_ERAB_SETUP_REQUEST,E-RABs To Be Setup List.gTP-TEID,E-RABs To Be Setup List.gTP-TEID,,," Basic observability, Session Trace"
1,0,1.1,,,178,,,bearerEstabQCI_1,QCI assigned to the radio bearer at establishment,,Unsigned Integer (16 bit),0,255,6,INTERNAL_PROC_ERAB_SETUP INTERNAL_PROC_INITIAL_CTXT_SETUP,EVENT_ARRAY_ERAB_SETUP_REQ_QCI,EVENT_ARRAY_ERAB_SETUP_REQ_QCI,,," Basic observability, Session Trace"
1,0,1.1,,,179,,,bearerPriorityLevel_1,Bearer ARP Priority Level,,Unsigned Integer (16 bit),0,255,2,INTERNAL_PROC_INITIAL_CTXT_SETUP INTERNAL_PROC_ERAB_SETUP INTERNAL_PROC_HO_PREP_X2_IN INTERNAL_PROC_HO_PREP_S1_IN X2_CONTEXT_FETCH_REQUEST,INTERNAL.EVENT_ARRAY_ERAB_SETUP_REQ_ARP X2_CTXT_FETCH.e-RAB-ToBeSetup-List [ ].priorityLevel,INTERNAL.EVENT_ARRAY_ERAB_SETUP_REQ_ARP X2_CTXT_FETCH.e-RAB-ToBeSetup-List [ ].priorityLevel,,," Basic observability, Session Trace"
1,0,1.1,,,180,,,bearerPreemptionCapability_1,Bearer Preemption Capability,,Byte,0,1,1,INTERNAL_PROC_INITIAL_CTXT_SETUP INTERNAL_PROC_ERAB_SETUP INTERNAL_PROC_HO_PREP_X2_IN INTERNAL_PROC_HO_PREP_S1_IN X2_CONTEXT_FETCH_REQUEST,EVENT_ARRAY_ERAB_SETUP_REQ_PCI X2_CTXT_FETCH.e-RAB-ToBeSetup-List [ ].pre-emptionCapability,EVENT_ARRAY_ERAB_SETUP_REQ_PCI X2_CTXT_FETCH.e-RAB-ToBeSetup-List [ ].pre-emptionCapability,,," Basic observability, Session Trace"
1,0,1.1,,,181,,,bearerPreemptionVulnerability_1,Bearer Preemption Vulnerability,,Byte,0,1,1,INTERNAL_PROC_INITIAL_CTXT_SETUP INTERNAL_PROC_ERAB_SETUP INTERNAL_PROC_HO_PREP_X2_IN INTERNAL_PROC_HO_PREP_S1_IN X2_CONTEXT_FETCH_REQUEST,EVENT_ARRAY_ERAB_SETUP_REQ_PVI X2_CTXT_FETCH.e-RAB-ToBeSetup-List [ ].pre-emptionVulnerability,EVENT_ARRAY_ERAB_SETUP_REQ_PVI X2_CTXT_FETCH.e-RAB-ToBeSetup-List [ ].pre-emptionVulnerability,,," Basic observability, Session Trace"
1,0,1.1,,,182,,,bearerDownlinkRequestedGBR_1,Total amount of requested DL bit rate for GBR bearers in the request.,Mb/s,Unsigned Integer (32 bit),0,304035759,342,INTERNAL_PROC_INITIAL_CTXT_SETUP INTERNAL_PROC_ERAB_SETUP,EVENT_PARAM_ACCUMULATED_DL_REQUESTED_GBR,EVENT_PARAM_ACCUMULATED_DL_REQUESTED_GBR,,," Basic observability, Session Trace"
1,0,1.1,,,183,,,bearerUplinkRequestedGBR_1,Total amount of requested UL bit rate for GBR bearers in the request.,Mb/s,Unsigned Integer (32 bit),0,304035759,43,INTERNAL_PROC_INITIAL_CTXT_SETUP INTERNAL_PROC_ERAB_SETUP,EVENT_PARAM_ACCUMULATED_UL_REQUESTED_GBR,EVENT_PARAM_ACCUMULATED_UL_REQUESTED_GBR,,," Basic observability, Session Trace"
1,0,1.1,,,184,,,bearerDownlinkAdmittedGBR_1,Total amount of admitted DL bit rate for GBR bearers in the request.,Mb/s,Unsigned Integer (32 bit),0,304035759,5,INTERNAL_PROC_INITIAL_CTXT_SETUP INTERNAL_PROC_ERAB_SETUP,EVENT_PARAM_ACCUMULATED_DL_ADMITTED_GBR,EVENT_PARAM_ACCUMULATED_DL_ADMITTED_GBR,,," Basic observability, Session Trace"
1,0,1.1,,,185,,,bearerUplinkAdmittedGBR_1,Total amount of admitted UL bit rate for GBR bearers in the request.,Mb/s,Unsigned Integer (32 bit),0,304035759,3,INTERNAL_PROC_INITIAL_CTXT_SETUP INTERNAL_PROC_ERAB_SETUP,EVENT_PARAM_ACCUMULATED_UL_ADMITTED_GBR,EVENT_PARAM_ACCUMULATED_UL_ADMITTED_GBR,,," Basic observability, Session Trace"
1,0,1.1,,,186,,,BRR #0_1,"Bearer Release Reason #0, RAB Release Triggering Node",,Unsigned Integer (16 bit),0,1,1,INTERNAL_PROC_ERAB_RELEASE,EVENT_PARAM_TRIGGERING_NODE,EVENT_PARAM_TRIGGERING_NODE,,," Basic observability, Session Trace, Dropped Call Analytics, "
1,0,1.1,,,187,,,BRR #1_1,"Bearer Release Reason #1, RAB Release S1 release cause",,Unsigned Integer (16 bit),0,33,3,INTERNAL_PROC_ERAB_RELEASE,EVENT_PARAM_S1_RELEASE_CAUSE,EVENT_PARAM_S1_RELEASE_CAUSE,,," Basic observability, Session Trace, Dropped Call Analytics, "
1,0,1.1,,,188,,,BRR #2_1,"Bearer Release Reason #2, RAB Release Internal Release Cause",,Unsigned Integer (16 bit),0,30,0,INTERNAL_PROC_ERAB_RELEASE,EVENT_PARAM_INTERNAL_RELEASE_CAUSE,EVENT_PARAM_INTERNAL_RELEASE_CAUSE,,," Basic observability, Session Trace, Dropped Call Analytics, "
1,0,1.1,,,189,,,BRR #3_1,"Bearer Release Reason #3, RAB Release Result",,Unsigned Integer (16 bit),0,48,2,INTERNAL_PROC_ERAB_RELEASE,EVENT_PARAM_ERAB_RELEASE_RESULT,EVENT_PARAM_ERAB_RELEASE_RESULT,,," Basic observability, Session Trace, Dropped Call Analytics, "
1,0,1.1,,,190,,,BRR #4_1,"Bearer Release Reason #4, RAB Release 3GPP Cause, Combination of both 3GPP Cause Group and 3GPP Cause. Could either be S1 Cause or X2 Cause.",,Unsigned Integer (16 bit),0,39,21,INTERNAL_PROC_ERAB_RELEASE,EVENT_PARAM_3GPP_CAUSE_GROUP EVENT_PARAM_3GPP_CAUSE,EVENT_PARAM_3GPP_CAUSE_GROUP EVENT_PARAM_3GPP_CAUSE,( EVENT_PARAM_3GPP_CAUSE_GROUP * 1000 ) + EVENT_PARAM_3GPP_CAUSE ,," Basic observability, Session Trace, Dropped Call Analytics, "
1,0,1.1,,,191,,,BRR #5_1,"Bearer Release Reason #5, RAB Setup Result",,Unsigned Integer (16 bit),0,0,1,INTERNAL_PROC_ERAB_SETUP,EVENT_ARRAY_ERAB_SETUP_RESULT,EVENT_ARRAY_ERAB_SETUP_RESULT,,," Basic observability, Session Trace, Blocked Call Analytics, "
1,0,1.1,,,192,,,BRR #6_1,"Bearer Release Reason #6, RAB Setup 3GPP Cause, Combination of both 3GPP Cause Group and 3GPP Cause. Could either be S1 Cause or X2 Cause.",,Unsigned Integer (16 bit),0,39,4,INTERNAL_PROC_ERAB_SETUP,EVENT_PARAM_3GPP_CAUSE_GROUP EVENT_PARAM_3GPP_CAUSE,EVENT_PARAM_3GPP_CAUSE_GROUP EVENT_PARAM_3GPP_CAUSE,( EVENT_PARAM_3GPP_CAUSE_GROUP * 1000 ) + EVENT_PARAM_3GPP_CAUSE ,," Basic observability, Session Trace, Blocked Call Analytics, "
1,0,1.1,,,193,,,bearerReleaseDateTime_1,Time of radio bearer release/disconnection. Timestamp is in Coordinated Universal Time (UTC),time,String,-,-,20140101235959,INTERNAL_PROC_ERAB_RELEASE INTERNAL_PROC_UE_CTXT_RELEASE,TIMESTAMP fields,TIMESTAMP fields,"Lookup via QCI. If 3GPP standard QoS settings standard look up applies, otherwise operators settings need to be provided.",,Basic observability
1,0,1.1,,,194,,,bearerReleaseQCI_1,QCI assigned to the radio bearer at release,,Unsigned Integer (16 bit),0,15,4,INTERNAL_PROC_ERAB_RELEASE INTERNAL_PROC_UE_CTXT_RELEASE,EVENT_ARRAY_ERAB_RELEASE_REQ_QCI[],EVENT_ARRAY_ERAB_RELEASE_REQ_QCI[],,," Basic observability, Session Trace, QoS Analysis"
1,0,1.1,,,195,,,bearerReleaseDataLostIndicator_1,Indicates RAB wasn't successfully established in target and had data in UL/DL buffers at the release.,,byte,0,3,2,INTERNAL_PROC_ERAB_RELEASE INTERNAL_PROC_UE_CTXT_RELEASE,EVENT_ARRAY_ERAB_DATA_LOST[],EVENT_ARRAY_ERAB_DATA_LOST[],,,Dropped Call Analytics
1,0,1.1,,,196,,,bearerReleaseInactiveGapIndicator_1,"Indicates ERAB has had an inactive gap, providing observability to quantify and correlate VoLTE call releases due to RTP time-out",,byte,0,2,1,INTERNAL_PROC_ERAB_RELEASE INTERNAL_PROC_UE_CTXT_RELEASE,EVENT_ARRAY_ERAB_INACTIVE_GAP[],EVENT_ARRAY_ERAB_INACTIVE_GAP[],,,Dropped Call Analytics
1,0,1.1,,,197,,,bearerDownlinkPDCPDataVol_1,Downlink transmitted DRB volume in the PDCP layer.,byte,Long Integer,0,4294967295,543534,INTERNAL_PER_UE_RB_TRAFFIC_REP,EVENT_PARAM_PER_DRB_PDCP_TRANSVOL_DL,EVENT_PARAM_PER_DRB_PDCP_TRANSVOL_DL,SUM,," Basic observability, Session Trace, Coverage & Capacity Analytics"
1,0,1.1,,,198,,,bearerUplinkPDCPDataVol_1,Uplink DRB volume for PDCP SDUs,byte,Long Integer,0,4294967295,5676778,INTERNAL_PER_UE_RB_TRAFFIC_REP,EVENT_PARAM_PER_DRB_PDCP_RECVOL_UL,EVENT_PARAM_PER_DRB_PDCP_RECVOL_UL,SUM,," Basic observability, Session Trace, Coverage & Capacity Analytics"
1,0,1.1,,,199,,,bearerDownlinkPDCPDataVolAck_1,Downlink (PDCP SDU) volume on DRB that has been transmitted and acknowledged.,byte,Long Integer,0,4294967295,5432,INTERNAL_PER_UE_RB_TRAFFIC_REP,EVENT_PARAM_PER_DRB_PDCP_ACKVOL_DL,EVENT_PARAM_PER_DRB_PDCP_ACKVOL_DL,SUM,," Basic observability, Session Trace, Coverage & Capacity Analytics"
2,0,2.0,,,200,,,bearerDownlinkRLCMACDelay_1,Aggregated time for the downlink delay measure in the RLC layer. One sample per RLC SDU sent to MAC. The time for each sample is between reception of a packet (PDCP SDU) until the packet is sent to the MAC layer entity for transmission on the air.,ms,Long Integer,0,4294967295,5666,INTERNAL_PER_UE_RB_TRAFFIC_REP,EVENT_PARAM_PER_DRB_DL_RLC_DELAY,EVENT_PARAM_PER_DRB_DL_RLC_DELAY,SUM,," Basic observability, Session Trace, Integrity Analytics"
2,0,2.0,,,201,,,bearerDownlinkRLCMACDelaySamples_1,Number of samples to be used in DL MAC delay measure calculations,,Unsigned Integer (32 bit),0,304035759,32,INTERNAL_PER_UE_RB_TRAFFIC_REP,EVENT_PARAM_PER_DRB_DL_RLC_DELAY_SAMPL,EVENT_PARAM_PER_DRB_DL_RLC_DELAY_SAMPL,SUM,," Basic observability, Session Trace, Integrity Analytics"
2,0,2.0,,,202,,,bearerDownlinkMACLatency_1,Aggregated time samples for the DL latency measure. The time is between reception of a PDCP SDU untill the first succesful transmission of a MAC SDU have been transmitted ,ms,Long Integer,0,4294967295,4678,INTERNAL_PER_UE_RB_TRAFFIC_REP,EVENT_PARAM_PER_DRB_LAT_TIME_DL,EVENT_PARAM_PER_DRB_LAT_TIME_DL,SUM,," Basic observability, Session Trace, Integrity Analytics"
2,0,2.0,,,203,,,bearerDownlinkMACLatencySamples_1,Number of samples to be used in DL latency measure calculations,,Unsigned Integer (32 bit),0,304035759,32,INTERNAL_PER_UE_RB_TRAFFIC_REP,EVENT_PARAM_PER_DRB_LAT_SAMPL_DL,EVENT_PARAM_PER_DRB_LAT_SAMPL_DL,SUM,," Basic observability, Session Trace, Integrity Analytics"
3,0,2.0,,,204,,,bearerDownlinkPktsDiscardedAQM_1,Downlink packets which have not been transmitted (i.e. discared) due to active queue management(AQM) ,,Long Integer,0,4294967295,1,INTERNAL_PER_UE_RB_TRAFFIC_REP,EVENT_PARAM_PER_DRB_PACKET_DISC_AQM_DL,EVENT_PARAM_PER_DRB_PACKET_DISC_AQM_DL,SUM,," Basic observability, Session Trace, Integrity Analytics"
3,0,2.0,,,205,,,bearerDownlinkPktsLostHO_1,Downlink PDCP SDUs discarded due to HO per DRB,,Long Integer,0,4294967295,23423,INTERNAL_PER_UE_RB_TRAFFIC_REP,EVENT_PARAM_PER_DRB_PACKET_LOST_HO_DL,EVENT_PARAM_PER_DRB_PACKET_LOST_HO_DL,SUM,," Basic observability, Session Trace, Integrity Analytics, Mobility Analytics"
3,0,2.0,,,206,,,bearerDownlinkPktsLostPELR_1,Downlink PDCP SDUs discarded due to reasons other than HO per DRB,,Long Integer,0,4294967295,5432,INTERNAL_PER_UE_RB_TRAFFIC_REP,EVENT_PARAM_PER_DRB_PACKET_LOST_PELR_DL,EVENT_PARAM_PER_DRB_PACKET_LOST_PELR_DL,SUM,," Basic observability, Session Trace, Integrity Analytics"
1,0,1.1,,,207,,,bearerDowlinkPktsTxRLCAM_1,Downlink PDCP SDUs transmitted successfully per DRB for RLC AM,,Long Integer,0,4294967295,5432,INTERNAL_PER_UE_RB_TRAFFIC_REP,EVENT_PARAM_PER_DRB_PACKET_TR_DL_RLCAM,EVENT_PARAM_PER_DRB_PACKET_TR_DL_RLCAM,SUM,," Basic observability, Session Trace, Integrity Analytics"
1,0,1.1,,,208,,,bearerDownlinkPktsTxRLCUM_1,Downlink PDCP SDUs transmitted successfully per DRB for RLC UM,,Long Integer,0,4294967295,56476,INTERNAL_PER_UE_RB_TRAFFIC_REP,EVENT_PARAM_PER_DRB_PACKET_TR_DL_RLCUM,EVENT_PARAM_PER_DRB_PACKET_TR_DL_RLCUM,SUM,," Basic observability, Session Trace, Integrity Analytics, VoLTE Analytics"
